uniprot_id	lilley
A1Z6P3	Cytoskeleton
A1Z8U0	Nucleus
A1Z920	PM
A1ZBW0	Nucleus
A4IJ59	Nucleus
C6SV41	ER
E1JIM4	Cytoskeleton
M9PC46	PM
O01367	Nucleus
O02393	ER
O16797	60S Ribosome
O17311	Proteasome
O18405	ER
O44342	ER
O44386	PM
O44437	Nucleus
O61231	60S Ribosome
O61491	PM
O61492	PM
O76927	40S Ribosome
O77277	ER
O97043	Golgi
P02255	Nucleus
P02517	Cytoskeleton
P02518	Cytoskeleton
P04359	60S Ribosome
P05389	60S Ribosome
P05552	Nucleus
P08570	60S Ribosome
P08985	Nucleus
P09180	60S Ribosome
P10674	PM
P12613	Cytoskeleton
P13607	PM
P15278	PM
P15348	Nucleus
P16378	PM
P17336	Peroxisome
P17704	40S Ribosome
P18053	Proteasome
P19889	60S Ribosome
P23654	PM
P27619	Cytoskeleton
P27864	Nucleus
P29327	40S Ribosome
P29413	ER
P31009	40S Ribosome
P32100	60S Ribosome
P34082	PM
P35381	Mitochondrion
P38040	PM
P38979	40S Ribosome
P39018	40S Ribosome
P40301	Proteasome
P41042	40S Ribosome
P41073	Nucleus
P41092	60S Ribosome
P41093	60S Ribosome
P41094	40S Ribosome
P41126	60S Ribosome
P46222	60S Ribosome
P46223	60S Ribosome
P46824	Cytoskeleton
P48149	40S Ribosome
P48159	60S Ribosome
P48555	PM
P48601	Proteasome
P48810	Nucleus
P49630	60S Ribosome
P50882	60S Ribosome
P50887	60S Ribosome
P54399	ER
P54611	PM
P55035	Proteasome
P55830	40S Ribosome
P55841	60S Ribosome
P55935	40S Ribosome
P56079	ER
P80455	40S Ribosome
P91926	PM
P91928	Mitochondrion
P91929	Mitochondrion
Q03334	40S Ribosome
Q05825	Mitochondrion
Q06559	40S Ribosome
Q09332	ER
Q0E9B6	40S Ribosome
Q0ZHI2	60S Ribosome
Q24046	PM
Q24048	PM
Q24251	Mitochondrion
Q24319	ER
Q24322	PM
Q24407	Mitochondrion
Q24492	Nucleus
Q27331	PM
Q27597	ER
Q5U124	Lysosome
Q6AWJ9	PM
Q6WV17	Golgi
Q6WV19	Golgi
Q7JZN0	ER
Q7K0A0	Mitochondrion
Q7K110	ER
Q7K1V5	ER
Q7KLV9	Proteasome
Q7KLX3	ER
Q7KMP8	Proteasome
Q7KMQ0	Proteasome
Q7YU59	Lysosome
Q86PA4	Lysosome
Q8IGA1	Mitochondrion
Q8IPB7	Lysosome
Q8IPX7	Nucleus
Q8MLY8	40S Ribosome
Q8MT23	60S Ribosome
Q8MV48	Golgi
Q8STG9	ER
Q8SZF2	Mitochondrion
Q8T045	ER
Q8T9B6	ER
Q94516	Mitochondrion
Q95083	Proteasome
Q95RF6	Mitochondrion
Q95SH7	Lysosome
Q95T75	ER
Q9GYU8	Nucleus
Q9NH72	Nucleus
Q9U3Z7	Nucleus
Q9U4L6	Mitochondrion
Q9U5L1	ER
Q9V3E7	Nucleus
Q9V3G1	60S Ribosome
Q9V3J1	PM
Q9V3P6	Proteasome
Q9V3U2	Nucleus
Q9V3Z4	Proteasome
Q9V576	PM
Q9V5C6	Proteasome
Q9V7N5	PM
Q9V9M7	60S Ribosome
Q9V9W2	60S Ribosome
Q9VA91	40S Ribosome
Q9VCK2	Lysosome
Q9VEJ0	Mitochondrion
Q9VFE4	40S Ribosome
Q9VIE8	Mitochondrion
Q9VIM0	Lysosome
Q9VIU7	ER
Q9VJY6	60S Ribosome
Q9VNB9	60S Ribosome
Q9VR90	Golgi
Q9VS34	60S Ribosome
Q9VSN9	ER
Q9VSR5	Mitochondrion
Q9VSU7	ER
Q9VTP4	60S Ribosome
Q9VUL8	Peroxisome
Q9VUZ0	ER
Q9VVT2	PM
Q9VVU2	60S Ribosome
Q9VVX3	PM
Q9VW54	Proteasome
Q9VWG3	40S Ribosome
Q9VX35	Nucleus
Q9VXJ0	Peroxisome
Q9VXX8	60S Ribosome
Q9VYB7	Golgi
Q9VYV5	Golgi
Q9VZS5	60S Ribosome
Q9W1B9	60S Ribosome
Q9W1V3	Nucleus
Q9W229	40S Ribosome
Q9W237	40S Ribosome
Q9W334	40S Ribosome
Q9W3C7	Lysosome
Q9W3U0	Peroxisome
Q9W3W8	60S Ribosome
Q9XZ61	Proteasome
