id	entry_name	source
P02769	ALBU_BOVIN	cRAP
P02662	CAS1_BOVIN	cRAP
P02663	CAS2_BOVIN	cRAP
P02666	CASB_BOVIN	cRAP
P02668	CASK_BOVIN	cRAP
P00766	CTRA_BOVIN	cRAP
P00767	CTRB_BOVIN	cRAP
P13645	K1C10_HUMAN	cRAP
O77727	K1C15_SHEEP	cRAP
P35527	K1C9_HUMAN	cRAP
Q15323	K1H1_HUMAN	cRAP
Q14532	K1H2_HUMAN	cRAP
O76011	K1H4_HUMAN	cRAP
Q92764	K1H5_HUMAN	cRAP
O76013	K1H6_HUMAN	cRAP
O76014	K1H7_HUMAN	cRAP
O76015	K1H8_HUMAN	cRAP
O76009	K1HA_HUMAN	cRAP
Q14525	K1HB_HUMAN	cRAP
P02534	K1M1_SHEEP	cRAP
P02536	K1M2_SHEEP	cRAP
P35908	K22E_HUMAN	cRAP
P04264	K2C1_HUMAN	cRAP
P02539	K2M1_SHEEP	cRAP
P15241	K2M2_SHEEP	cRAP
P25691	K2M3_SHEEP	cRAP
P02444	KRA33_SHEEP	cRAP
P02445	KRA34_SHEEP	cRAP
P02443	KRA3A_SHEEP	cRAP
P02441	KRA3_SHEEP	cRAP
Q02958	KRA61_SHEEP	cRAP
P02438	KRB2A_SHEEP	cRAP
P02439	KRB2B_SHEEP	cRAP
P02440	KRB2C_SHEEP	cRAP
P08131	KRB2D_SHEEP	cRAP
Q14533	KRHB1_HUMAN	cRAP
Q9NSB4	KRHB2_HUMAN	cRAP
P78385	KRHB3_HUMAN	cRAP
Q9NSB2	KRHB4_HUMAN	cRAP
P78386	KRHB5_HUMAN	cRAP
O43790	KRHB6_HUMAN	cRAP
P26372	KRUC_SHEEP	cRAP
P00711	LALBA_BOVIN	cRAP
Q7M135	LYSC_LYSEN	cRAP
P00792	PEPA_BOVIN	cRAP
P00791	PEPA_PIG	cRAP
Q10735	PEPB_PIG	cRAP
P30879	PEPC_PIG	cRAP
P0C1U8	SSPA_STAAU	cRAP
P00760	TRY1_BOVIN	cRAP
Q29463	TRY2_BOVIN	cRAP
P00761	TRYP_PIG	cRAP
P02768	ALBU_HUMAN	cRAP
P01008	ANT3_HUMAN	cRAP
P08758	ANXA5_HUMAN	cRAP
P01884	B2MG_HUMAN	cRAP
P55957	BID_HUMAN	cRAP
P00915	CAH1_HUMAN	cRAP
P00918	CAH2_HUMAN	cRAP
P04040	CATA_HUMAN	cRAP
P07339	CATD_HUMAN	cRAP
P08311	CATG_HUMAN	cRAP
P01031	CO5_HUMAN	cRAP
P02741	CRP_HUMAN	cRAP
P00167	CYB5_HUMAN	cRAP
P99999	CYC_HUMAN	cRAP
P01133	EGF_HUMAN	cRAP
P05413	FABPH_HUMAN	cRAP
P06396	GELS_HUMAN	cRAP
P08263	GSTA1_HUMAN	cRAP
P09211	GSTP1_HUMAN	cRAP
P01922	HBA_HUMAN	cRAP
P02023	HBB_HUMAN	cRAP
P01344	IGF2_HUMAN	cRAP
P10145	IL8_HUMAN	cRAP
P06732	KCRM_HUMAN	cRAP
P00709	LALBA_HUMAN	cRAP
P41159	LEP_HUMAN	cRAP
P61626	LYSC_HUMAN	cRAP
P02144	MYG_HUMAN	cRAP
Q15843	NEDD8_HUMAN	cRAP
P15559	NQO1_HUMAN	cRAP
P16083	NQO2_HUMAN	cRAP
P01127	PDGFB_HUMAN	cRAP
P05092	PPIA_HUMAN	cRAP
Q06830	PRDX1_HUMAN	cRAP
P01112	RASH_HUMAN	cRAP
P02753	RETBP_HUMAN	cRAP
P00441	SODC_HUMAN	cRAP
P63165	SUMO1_HUMAN	cRAP
P12081	SYH_HUMAN	cRAP
P10636	TAU_HUMAN	cRAP
P10599	THIO_HUMAN	cRAP
P01375	TNFA_HUMAN	cRAP
P02787	TRFE_HUMAN	cRAP
P02788	TRFL_HUMAN	cRAP
P51965	UB2E1_HUMAN	cRAP
O00762	UBE2C_HUMAN	cRAP
P63279	UBE2I_HUMAN	cRAP
P62979	RS27A_HUMAN	cRAP
P32503	GAG_SCVLA	cRAP
P00004	CYC_HORSE	cRAP
P00921	CAH2_BOVIN	cRAP
P00330	ADH1_YEAST	cRAP
P00883	ALDOA_RABIT	cRAP
P00698	LYSC_CHICK	cRAP
P68082	MYG_HORSE	cRAP
P01012	OVAL_CHICK	cRAP
P00722	BGAL_ECOLI	cRAP
P00366	DHE3_BOVIN	cRAP
P42212	GFP_AEQVI	cRAP
O82803	SRPP_HEVBR	cRAP
P15252	REF_HEVBR	cRAP
P81054	PLMP_GRIFR	cRAP
