id	moloney
Tb927.10.5260	Microtubule Structures 1
Tb927.10.5290	Mitochondrion - Matrix 2
Tb927.10.5350	Flagellum 1
Tb927.10.5430	Flagellum 1
Tb927.10.5440	Mitochondrion - Matrix 2
Tb927.10.5450	Nucleus - Chromatin
Tb927.10.560	Ribonucleoproteins 1
Tb927.10.5810	Cytosol
Tb927.10.5840	Cytosol
Tb927.10.5870	Microtubule Structures 2
Tb927.10.5890	Flagellum 1
Tb927.10.600	Mitochondrion - Matrix 1
Tb927.10.6180	Acidocalcisomes
Tb927.10.6230	Flagellum 1
Tb927.10.6260	Nucleus
Tb927.10.630	Microtubule Structures 1
Tb927.10.6300	Mitochondrion - Matrix 1
Tb927.10.6400	Mitochondrion - Matrix 2
Tb927.10.6440	Cytosol
Tb927.10.650	Flagellum 1
Tb927.10.6610	ER
Tb927.10.6630	Nucleus
Tb927.10.6680	Cytosol
Tb927.10.6850	Mitochondrion - Matrix 1
Tb927.10.7090	Mitochondrion - IM
Tb927.10.720	Microtubule Structures 2
Tb927.10.7230	Flagellum 1
Tb927.10.7510	Flagellum 1
Tb927.10.7690	Flagellum 1
Tb927.10.7880	Flagellum 1
Tb927.10.7910	Mitochondrion - Matrix 2
Tb927.10.7930	Cytosol
Tb927.10.8020	Cytosol
Tb927.10.8030	Mitochondrion - IM
Tb927.10.8060	Cytosol
Tb927.10.8190	Cytosol
Tb927.10.8200	Nucleus
Tb927.10.8210	Mitochondrion - Matrix 2
Tb927.10.830	Flagellum 1
Tb927.10.8590	Microtubule Structures 1
Tb927.10.870	Microtubule Structures 2
Tb927.10.8780	Flagellum 1
Tb927.10.8790	Cytosol
Tb927.10.8930	Flagellum 1
Tb927.10.8940	Microtubule Structures 2
Tb927.10.9130	Nucleus
Tb927.10.9250	Cytosol
Tb927.10.9440	Mitochondrion - IM
Tb927.10.9570	Flagellum 1
Tb927.10.970	Flagellum 1
Tb927.10.9700	Microtubule Structures 2
Tb927.10.9740	Proteasome Regulatory Particle
Tb927.10.9780	Nucleus
Tb927.10.9870	Cytosol
Tb927.10.9890	Glycosomes
Tb927.10.9920	Nucleus
Tb927.11.10060	Cytosol
Tb927.11.10170	Mitochondrion - Matrix 1
Tb927.11.10270	Secretory/Endocytic 1
Tb927.11.1050	Nucleus
Tb927.11.1070	Glycosomes
Tb927.11.10790	Ribonucleoproteins 1
Tb927.11.10900	Flagellum 1
Tb927.11.11160	Acidocalcisomes
Tb927.11.11210	Flagellum 1
Tb927.11.11220	Flagellum 1
Tb927.11.11250	Cytosol
Tb927.11.11460	Mitochondrion - OM
Tb927.11.11470	Mitochondrion - Matrix 1
Tb927.11.1150	Flagellum 1
Tb927.11.11520	Glycosomes
Tb927.11.11880	Flagellum 1
Tb927.11.12030	Nucleus
Tb927.11.12060	Glycosomes
Tb927.11.12220	Acidocalcisomes
Tb927.11.12430	Flagellum 1
Tb927.11.12490	Acidocalcisomes
Tb927.11.12680	Cytosol
Tb927.11.1270	Mitochondrion - IM
Tb927.11.12840	Flagellum 1
Tb927.11.12860	Flagellum 1
Tb927.11.13180	Mitochondrion - OM
Tb927.11.13280	Mitochondrion - Matrix 2
Tb927.11.13290	Mitochondrion - IM
Tb927.11.1330	Cytosol
Tb927.11.13360	Nucleus
Tb927.11.13500	Flagellum 1
Tb927.11.13690	Flagellum 1
Tb927.11.1370	Cytosol
Tb927.11.13700	Microtubule Structures 1
Tb927.11.13740	Secretory/Endocytic 3
Tb927.11.13780	Cytosol
Tb927.11.13870	Cytosol
Tb927.11.13890	Mitochondrion - Matrix 1
Tb927.11.13900	Flagellum 1
Tb927.11.13930	Nucleus
Tb927.11.1410	Nucleus - Chromatin
Tb927.11.14130	Ribonucleoproteins 1
Tb927.11.14140	Cytosol
Tb927.11.14200	Cytosol
Tb927.11.14210	Flagellum 1
Tb927.11.14250	Cytosol
Tb927.11.14280	Cytosol
Tb927.11.1430	Flagellum 1
Tb927.11.14380	Mitochondrion - Matrix 2
Tb927.11.14430	Proteasome Regulatory Particle
Tb927.11.14440	Flagellum 1
Tb927.11.14560	Nucleus
Tb927.11.14620	Secretory/Endocytic 1
Tb927.11.1470	Secretory/Endocytic 3
Tb927.11.14870	Cytosol
Tb927.11.14960	Nucleus
Tb927.11.14980	Mitochondrion - Matrix 1
Tb927.11.15100	Flagellum 1
Tb927.11.15140	Microtubule Structures 2
Tb927.11.15190	Flagellum 1
Tb927.11.15370	Cytosol
Tb927.11.15480	Cytosol
Tb927.11.1560	Cytosol
Tb927.11.15640	Mitochondrion - Matrix 2
Tb927.11.15760	ER
Tb927.11.15840	Secretory/Endocytic 2
Tb927.11.16030	Proteasome Regulatory Particle
Tb927.11.16090	Flagellum 1
Tb927.11.16150	Cytosol
Tb927.11.16160	Cytosol
Tb927.11.16210	Flagellum 1
Tb927.11.16280	Ribonucleoproteins 1
Tb927.11.16340	Cytosol
Tb927.11.16560	Secretory/Endocytic 3
Tb927.11.16640	Microtubule Structures 1
Tb927.11.16690	Secretory/Endocytic 1
Tb927.11.16730	Mitochondrion - Matrix 2
Tb927.11.16760	Cytosol
Tb927.11.16860	Mitochondrion - Matrix 2
Tb927.11.16880	Flagellum 1
Tb927.11.16890	Flagellum 1
Tb927.11.16970	Cytosol
Tb927.11.1710	Mitochondrion - Matrix 2
Tb927.11.1740	Intraflagellar Transport
Tb927.11.1900	Cytosol
Tb927.11.1910	Secretory/Endocytic 1
Tb927.11.2130	Proteasome Regulatory Particle
Tb927.11.2140	Flagellum 1
Tb927.11.2270	Flagellum 1
Tb927.11.230	Nucleus
Tb927.11.2510	Nucleus
Tb927.11.2790	Flagellum 1
Tb927.11.2990	Mitochondrion - Matrix 2
Tb927.11.3130	Glycosomes
Tb927.11.3220	Secretory/Endocytic 3
Tb927.11.3280	Microtubule Structures 2
Tb927.11.3310	Cytosol
Tb927.11.3360	Flagellum 1
Tb927.11.3470	Secretory/Endocytic 1
Tb927.11.3500	Flagellum 1
Tb927.11.3640	Mitochondrion - Matrix 1
Tb927.11.3650	Cytosol
Tb927.11.3710	Flagellum 1
Tb927.11.3740	Proteasome Regulatory Particle
Tb927.11.3840	Nucleus
Tb927.11.3880	Flagellum 1
Tb927.11.4190	Nucleus
Tb927.11.4210	Cytosol
Tb927.11.4350	Flagellum 1
Tb927.11.4480	Flagellum 1
Tb927.11.4550	Flagellum 1
Tb927.11.460	Nucleus
Tb927.11.4650	Mitochondrion - Matrix 1
Tb927.11.4740	Flagellum 1
Tb927.11.4820	Ribonucleoproteins 1
Tb927.11.4860	Cytosol
Tb927.11.4880	Flagellum 1
Tb927.11.4980	Nucleus
Tb927.11.5050	Mitochondrion - Matrix 2
Tb927.11.5220	ER
Tb927.11.540	Mitochondrion - OM
Tb927.11.5440	Cytosol
Tb927.11.5500	Mitochondrion - Matrix 1
Tb927.11.5510	Flagellum 1
Tb927.11.5600	Mitochondrion - OM
Tb927.11.5750	Microtubule Structures 1
Tb927.11.600	Mitochondrion - IM
Tb927.11.6000	Mitochondrion - Matrix 1
Tb927.11.6050	Flagellum 1
Tb927.11.6230	ER
Tb927.11.6250	Mitochondrion - IM
Tb927.11.6300	Ribonucleoproteins 1
Tb927.11.6370	Flagellum 1
Tb927.11.6400	Microtubule Structures 2
Tb927.11.6510	Ribonucleoproteins 1
Tb927.11.6560	Microtubule Structures 1
Tb927.11.6590	Cytosol
Tb927.11.6710	Flagellum 1
Tb927.11.6790	Nucleus
Tb927.11.6810	Microtubule Structures 2
Tb927.11.6870	Cytosol
Tb927.11.7020	Proteasome
Tb927.11.7180	Flagellum 1
Tb927.11.7213	Secretory/Endocytic 1
Tb927.11.7240	Flagellum 1
Tb927.11.7270	Proteasome
Tb927.11.7350	Nucleus - Chromatin
Tb927.11.740	Cytosol
Tb927.11.7460	ER
Tb927.11.750	Nucleus - Chromatin
Tb927.11.7520	Cytosol
Tb927.11.7560	Flagellum 1
Tb927.11.7570	Cytosol
Tb927.11.760	Cytosol
Tb927.11.7780	Mitochondrion - OM
Tb927.11.7790	Mitochondrion - Matrix 1
Tb927.11.7890	Cytosol
Tb927.11.7900	Mitochondrion - Matrix 2
Tb927.11.7940	Flagellum 1
Tb927.11.7960	Mitochondrion - Matrix 2
Tb927.11.8050	Nucleus
Tb927.11.8160	Flagellum 1
Tb927.11.8230	Cytosol
Tb927.11.8270	Nucleus
Tb927.11.8350	Microtubule Structures 2
