id	moloney
Tb927.7.7420	Mitochondrion - IM
Tb927.7.7450	Nucleus
Tb927.7.7470	Secretory/Endocytic 3
Tb927.7.800	Mitochondrion - Matrix 2
Tb927.7.840	Mitochondrion - IM
Tb927.7.920	Flagellum 1
Tb927.7.950	Secretory/Endocytic 1
Tb927.8.1050	Flagellum 1
Tb927.8.1110	Ribonucleoproteins 1
Tb927.8.1160	Acidocalcisomes
Tb927.8.1270	Nucleus
Tb927.8.1340	Ribonucleoproteins 1
Tb927.8.1420	Mitochondrion - IM
Tb927.8.1510	Nucleus
Tb927.8.1550	Flagellum 1
Tb927.8.1560	Flagellum 1
Tb927.8.1570	ER
Tb927.8.1740	Mitochondrion - IM
Tb927.8.1940	Secretory/Endocytic 1
Tb927.8.1950	Cytosol
Tb927.8.1980	Nucleus
Tb927.8.2030	Microtubule Structures 2
Tb927.8.2130	Flagellum 1
Tb927.8.2160	Secretory/Endocytic 2
Tb927.8.2210	Cytosol
Tb927.8.2520	Cytosol
Tb927.8.2590	Microtubule Structures 1
Tb927.8.2600	Nucleus
Tb927.8.2620	Flagellum 1
Tb927.8.2770	Acidocalcisomes
Tb927.8.3110	Mitochondrion - Matrix 1
Tb927.8.3150	Cytosol
Tb927.8.3250	Flagellum 1
Tb927.8.3380	Mitochondrion - IM
Tb927.8.3500	Cytosol
Tb927.8.3530	Glycosomes
Tb927.8.3790	Flagellum 1
Tb927.8.4060	Secretory/Endocytic 3
Tb927.8.4210	Cytosol
Tb927.8.4290	Nucleus
Tb927.8.4370	Glycosomes
Tb927.8.4380	Mitochondrion - OM
Tb927.8.4400	Flagellum 1
Tb927.8.4430	Cytosol
Tb927.8.4450	Nucleus
Tb927.8.4460	Flagellum 1
Tb927.8.4580	Flagellum 1
Tb927.8.4640	Flagellum 1
Tb927.8.4720	Secretory/Endocytic 2
Tb927.8.4870	Flagellum 1
Tb927.8.5010	Flagellum 1
Tb927.8.5200	Mitochondrion - Matrix 1
Tb927.8.5280	Mitochondrion - Matrix 1
Tb927.8.5450	Secretory/Endocytic 2
Tb927.8.5490	Nucleus
Tb927.8.5560	Mitochondrion - IM
Tb927.8.5600	Cytosol
Tb927.8.5640	Mitochondrion - IM
Tb927.8.5690	Mitochondrion - Matrix 2
Tb927.8.570	Proteasome Regulatory Particle
Tb927.8.5740	Cytosol
Tb927.8.590	Glycosomes
Tb927.8.6010	Secretory/Endocytic 2
Tb927.8.6070	Microtubule Structures 1
Tb927.8.6180	Ribonucleoproteins 1
Tb927.8.620	Mitochondrion - Matrix 2
Tb927.8.6200	Cytosol
Tb927.8.6240	Flagellum 1
Tb927.8.640	Flagellum 1
Tb927.8.6430	Cytosol
Tb927.8.650	ER
Tb927.8.6640	Glycosomes
Tb927.8.6660	Flagellum 1
Tb927.8.6730	Secretory/Endocytic 2
Tb927.8.680	Mitochondrion - Matrix 2
Tb927.8.6830	Microtubule Structures 2
Tb927.8.6850	Cytosol
Tb927.8.6890	Mitochondrion - IM
Tb927.8.690	Cytosol
Tb927.8.7270	Secretory/Endocytic 1
Tb927.8.7600	Secretory/Endocytic 2
Tb927.8.7650	Secretory/Endocytic 2
Tb927.8.810	Flagellum 1
Tb927.8.8170	Mitochondrion - Matrix 2
Tb927.8.8180	Mitochondrion - Matrix 2
Tb927.8.8200	Flagellum 1
Tb927.8.8230	Secretory/Endocytic 2
Tb927.8.8290	Secretory/Endocytic 2
Tb927.8.8300	Secretory/Endocytic 2
Tb927.9.10370	Flagellum 1
Tb927.9.10490	Cytosol
Tb927.9.10560	Mitochondrion - OM
Tb927.9.10890	Flagellum 1
Tb927.9.10950	Flagellum 1
Tb927.9.11120	Mitochondrion - Matrix 1
Tb927.9.11220	Mitochondrion - IM
Tb927.9.11250	Nucleus
Tb927.9.11260	Flagellum 1
Tb927.9.11270	Cytosol
Tb927.9.11300	Mitochondrion - Matrix 1
Tb927.9.11330	Proteasome
Tb927.9.11470	Ribonucleoproteins 1
Tb927.9.11540	Microtubule Structures 2
Tb927.9.11580	Glycosomes
Tb927.9.11600	Glycosomes
Tb927.9.11640	Glycosomes
Tb927.9.12320	Cytosol
Tb927.9.12480	Flagellum 1
Tb927.9.12650	Cytosol
Tb927.9.12700	ER
Tb927.9.12770	Mitochondrion - Matrix 2
Tb927.9.13280	Nucleus
Tb927.9.13350	Nucleus
Tb927.9.13490	Cytosol
Tb927.9.1420	Mitochondrion - Matrix 2
Tb927.9.15010	Mitochondrion - IM
Tb927.9.15050	Flagellum 1
Tb927.9.15090	ER
Tb927.9.1520	Cytosol
Tb927.9.15330	Nucleus
Tb927.9.15470	Microtubule Structures 2
Tb927.9.1720	Glycosomes
Tb927.9.1880	Flagellum 1
Tb927.9.1960	Cytosol
Tb927.9.2010	Cytosol
Tb927.9.2650	Mitochondrion - OM
Tb927.9.2900	Nucleus
Tb927.9.3440	Flagellum 1
Tb927.9.3820	Secretory/Endocytic 1
Tb927.9.4360	Mitochondrion - Matrix 2
Tb927.9.4680	Cytosol
Tb927.9.5260	ER
Tb927.9.5380	Microtubule Structures 2
Tb927.9.5410	Flagellum 1
Tb927.9.5630	Mitochondrion - Matrix 2
Tb927.9.5650	Cytosol
Tb927.9.5960	Mitochondrion - IM
Tb927.9.6040	Cytosol
Tb927.9.6290	Cytosol
Tb927.9.6310	Secretory/Endocytic 2
Tb927.9.6510	Mitochondrion - Matrix 1
Tb927.9.6580	Nucleus
Tb927.9.6940	Nucleus - Chromatin
Tb927.9.7170	Mitochondrion - Matrix 1
Tb927.9.7260	Mitochondrion - Matrix 2
Tb927.9.7470	Secretory/Endocytic 2
Tb927.9.7520	Cytosol
Tb927.9.7670	Nucleus
Tb927.9.7770	Cytosol
Tb927.9.8000	Cytosol
Tb927.9.8200	Nucleus
Tb927.9.8290	Mitochondrion - Matrix 1
Tb927.9.8450	Cytosol
Tb927.9.8490	Microtubule Structures 1
Tb927.9.8720	Glycosomes
Tb927.9.9010	Nucleus
Tb927.9.9020	Cytosol
Tb927.9.9550	ER
Tb927.9.9630	ER
Tb927.9.9660	Mitochondrion - OM
Tb927.9.9670	Proteasome
Tb927.9.9940	Flagellum 1
Tb927.9.9960	Microtubule Structures 2
