uniprot_id	barylyuk
TGME49_200250	Micronemes
TGME49_201780	Micronemes
TGME49_201840	Endomembrane Vesicles
TGME49_202350	Mitochondrion - Soluble
TGME49_202370	Cytosol
TGME49_202440	Apicoplast
TGME49_202530	Cytosol
TGME49_202572	ER 1
TGME49_202770	Nucleus - Non-Chromatin
TGME49_202780	Dense Granules
TGME49_202810	Mitochondrion - Membranes
TGME49_202960	Mitochondrion - Soluble
TGME49_203310	Dense Granules
TGME49_203630	60S Ribosome
TGME49_203870	Nucleus - Non-Chromatin
TGME49_203970	ER 1
TGME49_203990	Rhoptries 1
TGME49_204020	60S Ribosome
TGME49_204050	Micronemes
TGME49_204060	Golgi
TGME49_204080	Endomembrane Vesicles
TGME49_204130	Micronemes
TGME49_204370	Mitochondrion - Membranes
TGME49_204400	Mitochondrion - Membranes
TGME49_204530	Micronemes
TGME49_205010	Nucleus - Non-Chromatin
TGME49_205030	Golgi
TGME49_205180	Nucleus - Non-Chromatin
TGME49_205250	Rhoptries 1
TGME49_205340	40S Ribosome
TGME49_205440	Cytosol
TGME49_205500	Nucleolus
TGME49_205570	Mitochondrion - Membranes
TGME49_205580	Nucleus - Chromatin
TGME49_205710	Cytosol
TGME49_206470	Mitochondrion - Soluble
TGME49_206510	Micronemes
TGME49_206610	Apicoplast
TGME49_206690	IMC
TGME49_207140	PM - Peripheral 1
TGME49_207160	PM - Peripheral 1
TGME49_207640	Cytosol
TGME49_207830	PM - Peripheral 2
TGME49_207840	40S Ribosome
TGME49_208030	Micronemes
TGME49_208070	Dense Granules
TGME49_208340	Apical 2
TGME49_208450	Dense Granules
TGME49_208740	Dense Granules
TGME49_208820	Apicoplast
TGME49_208830	Dense Granules
TGME49_208850	PM - Peripheral 1
TGME49_209150	Mitochondrion - Membranes
TGME49_209260	Mitochondrion - Membranes
TGME49_209430	Nucleolus
TGME49_209720	Mitochondrion - Membranes
TGME49_209910	Nucleus - Chromatin
TGME49_210370	Rhoptries 1
TGME49_210690	40S Ribosome
TGME49_210790	Mitochondrion - Membranes
TGME49_210820	Rhoptries 2
TGME49_210840	Cytosol
TGME49_210960	Nucleus - Chromatin
TGME49_211040	ER 1
TGME49_211260	Rhoptries 1
TGME49_211290	Rhoptries 1
TGME49_211440	Apicoplast
TGME49_211680	ER 2
TGME49_211890	Apicoplast
TGME49_212090	PM - Peripheral 2
TGME49_212300	Dense Granules
TGME49_212410	Dense Granules
TGME49_213000	Nucleus - Chromatin
TGME49_213067	Dense Granules
TGME49_213280	PM - Peripheral 1
TGME49_213350	40S Ribosome
TGME49_213410	Nucleus - Non-Chromatin
TGME49_214080	Rhoptries 1
TGME49_214150	Mitochondrion - Membranes
TGME49_214190	PM - Peripheral 1
TGME49_214290	Cytosol
TGME49_214320	PM - Integral
TGME49_214750	Mitochondrion - Soluble
TGME49_214820	Nucleus - Non-Chromatin
TGME49_214840	Nucleus - Chromatin
TGME49_214850	Apicoplast
TGME49_214870	Mitochondrion - Soluble
TGME49_214880	Apical 1
TGME49_214920	ER 1
TGME49_214940	Micronemes
TGME49_215070	Apicoplast
TGME49_215150	Nucleus - Chromatin
TGME49_215280	Mitochondrion - Membranes
TGME49_215470	60S Ribosome
TGME49_215590	Mitochondrion - Soluble
TGME49_215680	PM - Peripheral 1
TGME49_215775	Rhoptries 1
TGME49_216000	IMC
TGME49_216220	Nucleus - Chromatin
TGME49_216450	20S Proteasome
TGME49_216540	ER 1
TGME49_216650	PM - Peripheral 2
TGME49_217050	Nucleus - Chromatin
TGME49_217460	Cytosol
TGME49_217540	Nucleus - Non-Chromatin
TGME49_217740	Apicoplast
TGME49_218200	Cytosol
TGME49_218240	IMC
TGME49_218270	Rhoptries 2
TGME49_218280	Mitochondrion - Membranes
TGME49_218410	60S Ribosome
TGME49_218420	Nucleus - Non-Chromatin
TGME49_218520	Micronemes
TGME49_218610	Nucleolus
TGME49_218810	Cytosol
TGME49_218920	20S Proteasome
TGME49_218960	Nucleus - Chromatin
TGME49_219170	IMC
TGME49_219320	IMC
TGME49_219550	Mitochondrion - Soluble
TGME49_219790	Nucleus - Non-Chromatin
TGME49_219810	Dense Granules
TGME49_219850	Cytosol
TGME49_220240	Dense Granules
TGME49_220270	IMC
TGME49_220400	Cytosol
TGME49_220600	PM - Integral
TGME49_220950	Dense Granules
TGME49_221180	Micronemes
TGME49_221210	ER 2
TGME49_221320	Apicoplast
TGME49_221330	Apicoplast
TGME49_221480	Micronemes
TGME49_221620	Tubulin Cytoskeleton
TGME49_221950	Nucleus - Non-Chromatin
TGME49_222020	Apicoplast
TGME49_222220	IMC
TGME49_222350	Apical 1
TGME49_222370	PM - Peripheral 1
TGME49_222400	IMC
TGME49_222990	Mitochondrion - Soluble
TGME49_223390	Nucleus - Non-Chromatin
TGME49_223590	20S Proteasome
TGME49_223620	Golgi
TGME49_223920	Rhoptries 1
TGME49_223940	IMC
TGME49_224050	Nucleus - Chromatin
TGME49_224110	19S Proteasome
TGME49_224580	Nucleus - Non-Chromatin
TGME49_224620	Micronemes
TGME49_225020	Apical 1
TGME49_225080	40S Ribosome
TGME49_225200	Rhoptries 1
TGME49_225555	Mitochondrion - Membranes
TGME49_225690	Apical 1
TGME49_225790	Tubulin Cytoskeleton
TGME49_225880	Cytosol
TGME49_225930	Cytosol
TGME49_225990	Apicoplast
TGME49_226000	Mitochondrion - Membranes
TGME49_226030	IMC
TGME49_226040	Apical 2
TGME49_226380	Dense Granules
TGME49_226400	Apicoplast
TGME49_226440	Nucleus - Chromatin
TGME49_226590	Mitochondrion - Membranes
TGME49_226600	Golgi
TGME49_226730	Mitochondrion - Soluble
TGME49_226830	ER 2
TGME49_226860	PM - Peripheral 1
TGME49_226910	Cytosol
TGME49_226970	40S Ribosome
TGME49_226990	Apical 1
TGME49_227000	Apical 1
TGME49_227280	Dense Granules
TGME49_227360	60S Ribosome
TGME49_227420	Apicoplast
TGME49_227600	60S Ribosome
TGME49_227620	Dense Granules
TGME49_227790	ER 1
TGME49_227810	Rhoptries 1
TGME49_227830	Mitochondrion - Soluble
TGME49_227900	Nucleus - Chromatin
TGME49_227960	19S Proteasome
TGME49_227970	Apicoplast
TGME49_228000	Nucleus - Non-Chromatin
TGME49_228180	Mitochondrion - Membranes
TGME49_228210	19S Proteasome
TGME49_228470	60S Ribosome
TGME49_228760	Dense Granules
TGME49_229010	Rhoptries 1
TGME49_229030	ER 1
