id	lilley	christoforou
A2AJ15	ER	ERGIC
A2ATU0	Mitochondrion	Mitochondrion
A2TJV2	PM
A6H611	Mitochondrion	Mitochondrion
B1AQJ2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
B2RXS4	PM
B7ZMP1	Mitochondrion	Mitochondrion
O08715	Mitochondrion	Mitochondrion
O08749	Mitochondrion
O08756	Mitochondrion	Mitochondrion
O08795-2	ER
O08914		ERGIC
O08917	Endosome
O09061	Proteasome	Proteasome
O09111	Mitochondrion	Mitochondrion
O09159	Lysosome
O09167	60S Ribosome	60S Ribosome
O09174	Peroxisome	Peroxisome
O35143	Mitochondrion	Mitochondrion
O35166	Golgi	ERGIC
O35286	Nucleus - Non-Chromatin
O35379	PM
O35405	Lysosome	Lysosome
O35435	Mitochondrion	Mitochondrion
O35448	Lysosome	Lysosome
O35638	Nucleus - Chromatin	Nucleus - Chromatin
O35657	Lysosome	Lysosome
O35658	Mitochondrion	Mitochondrion
O35855	Mitochondrion	Mitochondrion
O35857	Mitochondrion
O35887	ER	ERGIC
O35943	Mitochondrion	Mitochondrion
O54734	ER	ERGIC
O54879	Nucleus - Chromatin	Nucleus - Chromatin
O54941	Nucleus - Chromatin	Nucleus - Chromatin
O55060	Cytosol	Cytosol
O55111	PM	PM
O55125	Mitochondrion	Mitochondrion
O55142	60S Ribosome	60S Ribosome
O55143	ER	ERGIC
O55222	PM	PM
O55234	Proteasome	Proteasome
O70252	ER	ERGIC
O70309	PM	PM
O70400	Actin Cytoskeleton	Actin Cytoskeleton
O70435	Proteasome	Proteasome
O70503	ER
O70579	Peroxisome	Peroxisome
O70589-5	PM	PM
O88322	ECM
O88342	Actin Cytoskeleton
O88396	Mitochondrion	Mitochondrion
O88441	Mitochondrion	Mitochondrion
O88491	Nucleus - Chromatin
O88531	Lysosome	Lysosome
O88685	Proteasome	Proteasome
O88696	Mitochondrion	Mitochondrion
O88708	Nucleus - Chromatin	Nucleus - Chromatin
O88792	PM	PM
O88844	Cytosol
O88958	Cytosol	Cytosol
O88967	Mitochondrion	Mitochondrion
O88986	Mitochondrion	Mitochondrion
O89023	Lysosome	Lysosome
P02301	Nucleus - Chromatin	Nucleus - Chromatin
P02468	ECM
P02469	ECM
P03888	Mitochondrion	Mitochondrion
P03921	Mitochondrion	Mitochondrion
P05064	Cytosol
P05201	Cytosol
P05202	Mitochondrion
P06151	Cytosol
P06797	Lysosome	Lysosome
P07214	ECM	ECM
P07901	Cytosol
P08003	ER
P08113	ER
P08249	Mitochondrion
P09055	PM
P09103	ER
P09242	PM
P09411	Cytosol
P09602	Nucleus - Chromatin	Nucleus - Chromatin
P09671	Mitochondrion	Mitochondrion
P09803	PM
P0C0S6	Nucleus - Chromatin	Nucleus - Chromatin
P10493	ECM	ECM
P10605	Lysosome	Lysosome
P10649	Cytosol	Cytosol
P10852	PM
P10854	Nucleus - Chromatin	Nucleus - Chromatin
P10922	Nucleus - Chromatin	Nucleus - Chromatin
P11276	ECM
P11404	Cytosol	Cytosol
P11499	Cytosol
P11531	PM
P11688	PM
P11881-2	ER
P12787	Mitochondrion	Mitochondrion
P12970	60S Ribosome
P13595	PM	PM
P13597-2	PM
P14115	60S Ribosome	60S Ribosome
P14131	40S Ribosome	40S Ribosome
P14148	60S Ribosome
P14152	Cytosol	Cytosol
P14206	40S Ribosome	40S Ribosome
P14211	ER
P14685	Proteasome
P14869	60S Ribosome
P15208	PM	PM
P15535	Golgi
P15864	Nucleus - Chromatin	Nucleus - Chromatin
P16125	Cytosol
P16332	Mitochondrion
P17182	Cytosol
P17439	Lysosome	Lysosome
P17665	Mitochondrion	Mitochondrion
P17809	PM	PM
P18155	Mitochondrion	Mitochondrion
P18242	Lysosome
P18572-2	PM	PM
P18760	Actin Cytoskeleton
P19096	Cytosol
P19137	ECM	ECM
P19253	60S Ribosome	60S Ribosome
P19324	ER	ERGIC
P19536	Mitochondrion	Mitochondrion
P19783	Mitochondrion	Mitochondrion
P20029	ER
P20060	Lysosome
P20108	Mitochondrion	Mitochondrion
P20263	Nucleus - Chromatin	Nucleus - Chromatin
P21995	PM	PM
P24270	Peroxisome	Peroxisome
P24369	ER	ERGIC
P24472	Cytosol	Cytosol
P24638	Lysosome	Lysosome
P25444	40S Ribosome	40S Ribosome
