id	lilley	christoforou
P26039	Actin Cytoskeleton
P26040	PM
P26041	PM
P26043	PM
P26231	PM
P26443	Mitochondrion
P26516	Proteasome	Proteasome
P26645	Actin Cytoskeleton	Actin Cytoskeleton
P27046	Golgi
P27659	60S Ribosome
P27661	Nucleus - Chromatin	Nucleus - Chromatin
P27773	ER
P28474	Cytosol	Cytosol
P28660	PM
P29416	Lysosome	Lysosome
P29758	Mitochondrion	Mitochondrion
P30275	Mitochondrion	Mitochondrion
P30681	Nucleus - Chromatin	Nucleus - Chromatin
P33174	Nucleus - Chromatin
P35279	Golgi
P35486	Mitochondrion
P35550	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
P35564	ER
P35846	PM	PM
P35979	60S Ribosome	60S Ribosome
P35980	60S Ribosome	60S Ribosome
P36552	Mitochondrion	Mitochondrion
P37040	ER
P38060	Mitochondrion	Mitochondrion
P38647	Mitochondrion
P40630-2	Mitochondrion	Mitochondrion
P41105	60S Ribosome	60S Ribosome
P42125	Mitochondrion	Mitochondrion
P43274	Nucleus - Chromatin	Nucleus - Chromatin
P43275	Nucleus - Chromatin	Nucleus - Chromatin
P43276	Nucleus - Chromatin	Nucleus - Chromatin
P43277	Nucleus - Chromatin	Nucleus - Chromatin
P43406	PM
P45591	Actin Cytoskeleton	Actin Cytoskeleton
P45878	ER	ERGIC
P45952	Mitochondrion
P46471	Proteasome
P46664	Cytosol
P46978	ER	ERGIC
P47738	Mitochondrion
P47758	ER	ERGIC
P47802	Mitochondrion	Mitochondrion
P47911	60S Ribosome
P47915	60S Ribosome	60S Ribosome
P47955	60S Ribosome	60S Ribosome
P47962	60S Ribosome
P47963	60S Ribosome	60S Ribosome
P47964	60S Ribosome	60S Ribosome
P48432	Nucleus - Chromatin	Nucleus - Chromatin
P48962	Mitochondrion	Mitochondrion
P49722	Proteasome	Proteasome
P50136	Mitochondrion	Mitochondrion
P50171	Mitochondrion	Mitochondrion
P50247	Cytosol
P50544	Mitochondrion	Mitochondrion
P51174	Mitochondrion	Mitochondrion
P51410	60S Ribosome	60S Ribosome
P51660	Peroxisome
P51881	Mitochondrion	Mitochondrion
P52196	Mitochondrion	Mitochondrion
P52503	Mitochondrion	Mitochondrion
P52825	Mitochondrion	Mitochondrion
P53026	60S Ribosome	60S Ribosome
P53395	Mitochondrion	Mitochondrion
P53702	Mitochondrion	Mitochondrion
P54071	Mitochondrion
P54761	PM	PM
P54775	Proteasome	Proteasome
P54818	Lysosome	Lysosome
P55096	Peroxisome	Peroxisome
P55937	Golgi
P56183-2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
P56371	Endosome	Endosome
P56382	Mitochondrion	Mitochondrion
P56480	Mitochondrion
P56542	Lysosome	Lysosome
P57759	ER	ERGIC
P57780	Actin Cytoskeleton
P58021	Endosome	Endosome
P58059	Mitochondrion	Mitochondrion
P58064	Mitochondrion	Mitochondrion
P58137	Peroxisome	Peroxisome
P59017	Mitochondrion	Mitochondrion
P60766	Actin Cytoskeleton	Actin Cytoskeleton
P60867	40S Ribosome	40S Ribosome
P61211	Golgi
P61255	60S Ribosome	60S Ribosome
P61358	60S Ribosome	60S Ribosome
P61514	60S Ribosome	60S Ribosome
P61804	ER	ERGIC
P62075	Mitochondrion	Mitochondrion
P62077	Mitochondrion	Mitochondrion
P62082	40S Ribosome	40S Ribosome
P62192	Proteasome	Proteasome
P62196	Proteasome	Proteasome
P62242	40S Ribosome	40S Ribosome
P62245	40S Ribosome	40S Ribosome
P62264	40S Ribosome	40S Ribosome
P62267	40S Ribosome	40S Ribosome
P62270	40S Ribosome	40S Ribosome
P62281	40S Ribosome	40S Ribosome
P62301	40S Ribosome	40S Ribosome
P62334	Proteasome	Proteasome
P62702	40S Ribosome	40S Ribosome
P62717	60S Ribosome	60S Ribosome
P62751	60S Ribosome	60S Ribosome
P62754	40S Ribosome
P62806	Nucleus - Chromatin	Nucleus - Chromatin
P62830	60S Ribosome	60S Ribosome
P62843	40S Ribosome	40S Ribosome
P62849-2	40S Ribosome	40S Ribosome
P62852	40S Ribosome	40S Ribosome
P62855	40S Ribosome	40S Ribosome
P62862	40S Ribosome	40S Ribosome
P62889	60S Ribosome	60S Ribosome
P62897	Mitochondrion	Mitochondrion
P62900	60S Ribosome	60S Ribosome
P62908	40S Ribosome
P62911	60S Ribosome	60S Ribosome
P62918	60S Ribosome	60S Ribosome
P63038	Mitochondrion
P63276	40S Ribosome	40S Ribosome
P63323	40S Ribosome	40S Ribosome
P63325	40S Ribosome	40S Ribosome
P67778	Mitochondrion	Mitochondrion
P67984	60S Ribosome	60S Ribosome
P70195	Proteasome	Proteasome
P70206	PM
P70227	ER
P70388	Nucleus - Chromatin	Nucleus - Chromatin
P70404	Mitochondrion	Mitochondrion
P70428	Golgi	ERGIC
P70665	Lysosome	Lysosome
P70699	Lysosome
P83882	60S Ribosome	60S Ribosome
P84099	60S Ribosome	60S Ribosome
P85094	Mitochondrion	Mitochondrion
P97351	40S Ribosome
P97363	ER	ERGIC
P97372	Proteasome	Proteasome
P97390	Golgi
P97450	Mitochondrion	Mitochondrion
P97452	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
P97461	40S Ribosome	40S Ribosome
P97493	Mitochondrion	Mitochondrion
P97494	Cytosol	Cytosol
P97742	Mitochondrion	Mitochondrion
P97807-2	Mitochondrion
P98192	Peroxisome	Peroxisome
P99026	Proteasome	Proteasome
P99027	60S Ribosome	60S Ribosome
P99028	Mitochondrion	Mitochondrion
Q01237	ER	ERGIC
Q02248	PM
Q02257	PM
Q02819	Golgi
Q03145	PM
Q03265	Mitochondrion
Q04447	Cytosol	Cytosol
Q04692	Nucleus - Chromatin
Q05186	ER	ERGIC
Q05793	ECM
Q05816	Cytosol	Cytosol
Q05909	PM	PM
Q05920	Mitochondrion
Q06185	Mitochondrion	Mitochondrion
Q07133	Nucleus - Chromatin	Nucleus - Chromatin
Q07417	Mitochondrion	Mitochondrion
Q14C51	Mitochondrion
Q14CH7	Mitochondrion
Q2VPQ9	Nucleus - Chromatin	Nucleus - Chromatin
Q3B7Z2	Golgi
Q3TBW2	Mitochondrion	Mitochondrion
Q3TCN2	Lysosome	Lysosome
Q3TDQ1	ER	ERGIC
Q3TEA8-3	Nucleus - Chromatin	Nucleus - Chromatin
Q3THG9	Cytosol	Cytosol
Q3TLP5	Mitochondrion	Mitochondrion
Q3TRM4	ER
Q3TUH1	Mitochondrion	Mitochondrion
Q3TXS7	Proteasome
Q3TZM9-2		ERGIC
Q3U186	Mitochondrion
Q3U1G5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q3U2A8	Mitochondrion	Mitochondrion
Q3U3R4	ER	ERGIC
Q3UFM5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q3UFY8	Mitochondrion	Mitochondrion
Q3UHX0	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q3UIU2	Mitochondrion	Mitochondrion
Q3ULD5	Mitochondrion
Q3ULF4	Mitochondrion	Mitochondrion
Q3UMB9	Endosome
Q3UMR5	Mitochondrion	Mitochondrion
Q3UMW8	Lysosome	Lysosome
Q3UQ84	Mitochondrion
Q3UVK0	ER	ERGIC
Q3V300	Nucleus - Chromatin	Nucleus - Chromatin
Q3V3R1	Mitochondrion
Q499X9	Mitochondrion	Mitochondrion
Q4FZG9	Mitochondrion	Mitochondrion
Q4VA53	Nucleus - Chromatin
Q501J6	Nucleus - Non-Chromatin
Q501J7-2	Actin Cytoskeleton	Actin Cytoskeleton
Q571H0	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q59J78	Mitochondrion	Mitochondrion
Q5BL07-2	Peroxisome	Peroxisome
Q5PSV9	Nucleus - Chromatin
Q5RJG1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q5SSI6	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q5SSK3	Mitochondrion	Mitochondrion
Q5SSW2	Proteasome	Proteasome
Q5SUC9	Mitochondrion	Mitochondrion
Q5XG71	Nucleus - Non-Chromatin
Q5XG73-2	Peroxisome	Peroxisome
Q5XJY4	Mitochondrion	Mitochondrion
Q60597	Mitochondrion
Q60648	Lysosome	Lysosome
Q60649	Mitochondrion	Mitochondrion
Q60692	Proteasome	Proteasome
Q60759	Mitochondrion	Mitochondrion
Q60862	Nucleus - Chromatin	Nucleus - Chromatin
Q60930	Mitochondrion
Q60931	Mitochondrion	Mitochondrion
Q60936	Mitochondrion	Mitochondrion
Q61001	ECM
Q61033	Nucleus - Chromatin	Nucleus - Chromatin
Q61081	Cytosol	Cytosol
Q61102	Mitochondrion
Q61171	Cytosol	Cytosol
Q61188	Nucleus - Chromatin	Nucleus - Chromatin
Q61205	Cytosol	Cytosol
Q61234	PM	PM
Q61292	ECM	ECM
Q61316	Cytosol
Q61387	Mitochondrion	Mitochondrion
Q61425	Mitochondrion	Mitochondrion
Q61466	Nucleus - Chromatin	Nucleus - Chromatin
Q61543	Golgi
Q61550	Nucleus - Chromatin	Nucleus - Chromatin
Q61576	ER	ERGIC
Q61578	Mitochondrion	Mitochondrion
Q61656	Nucleus - Non-Chromatin
Q61686	Nucleus - Chromatin	Nucleus - Chromatin
Q61687	Nucleus - Chromatin
Q61733	Mitochondrion	Mitochondrion
Q61739	PM
Q61941	Mitochondrion
Q62165	PM	PM
Q62315	Nucleus - Chromatin
Q62425	Mitochondrion	Mitochondrion
Q62470	PM	PM
Q62504-2	Nucleus - Chromatin	Nucleus - Chromatin
Q640M1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q64430	Golgi
Q64433	Mitochondrion	Mitochondrion
Q64521	Mitochondrion
Q69Z66	Nucleus - Chromatin	Nucleus - Chromatin
Q6A026	Nucleus - Chromatin
Q6DFW4	Nucleus - Non-Chromatin
Q6IRU2	Actin Cytoskeleton	Actin Cytoskeleton
Q6NS46	Nucleus - Non-Chromatin
Q6NVG1	ER
Q6P1H6	ER
Q6P3A8	Mitochondrion	Mitochondrion
Q6P3B9	Mitochondrion	Mitochondrion
Q6P5B0	Nucleus - Non-Chromatin
Q6P5D8	Nucleus - Chromatin
Q6P5E4	ER
Q6P9R1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q6PA06	ER	ERGIC
Q6PAC3	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q6PAQ4	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q6PB66	Mitochondrion
Q6PB93	Golgi	ERGIC
Q6PD26	ER	ERGIC
Q6PE15	Mitochondrion	Mitochondrion
Q6PGL7	Endosome
Q6PIX5	ER
Q6PR54	Nucleus - Chromatin
Q6ZQ88	Nucleus - Chromatin
Q6ZQL4	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q6ZWN5	40S Ribosome
Q6ZWV7	60S Ribosome	60S Ribosome
Q71RI9-2	Mitochondrion	Mitochondrion
Q78IK2	Mitochondrion	Mitochondrion
Q791V5	Mitochondrion	Mitochondrion
Q7TMR0	Lysosome	Lysosome
Q7TMV3	Mitochondrion	Mitochondrion
Q7TMY8	Cytosol
Q7TN89	PM	PM
Q7TPR4	Actin Cytoskeleton
Q7TT50	Actin Cytoskeleton
Q80U70	Nucleus - Chromatin	Nucleus - Chromatin
Q80UM7	ER	ERGIC
Q80VA0	Golgi	ERGIC
Q80W00-2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q80X85	Mitochondrion	Mitochondrion
Q80XC3	Golgi
Q80XN0	Mitochondrion	Mitochondrion
Q80Y14	Mitochondrion	Mitochondrion
Q80YD1	Mitochondrion
Q80ZK0	Mitochondrion	Mitochondrion
Q80ZS3	Mitochondrion	Mitochondrion
Q810V0	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q811I0	Mitochondrion	Mitochondrion
Q811U4	Mitochondrion	Mitochondrion
Q8BFP9	Mitochondrion	Mitochondrion
Q8BFR4	Lysosome	Lysosome
Q8BFR5	Mitochondrion
Q8BFZ9	ER	ERGIC
Q8BG32	Proteasome
Q8BG51-3	Mitochondrion	Mitochondrion
Q8BGA5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8BGA9	Mitochondrion	Mitochondrion
Q8BGD8	Mitochondrion	Mitochondrion
Q8BGS0	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8BGT5	Mitochondrion	Mitochondrion
Q8BH04	Mitochondrion	Mitochondrion
Q8BH59	Mitochondrion	Mitochondrion
Q8BH95	Mitochondrion	Mitochondrion
Q8BH97	ER	ERGIC
Q8BHB4	Nucleus - Non-Chromatin
Q8BI84	ER
Q8BIJ6	Mitochondrion
Q8BIP0	Mitochondrion	Mitochondrion
Q8BJ48	Golgi
Q8BJU0-2	Cytosol	Cytosol
Q8BJW5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8BJY1	Proteasome	Proteasome
Q8BJZ4	Mitochondrion	Mitochondrion
Q8BK08	Mitochondrion	Mitochondrion
Q8BK30	Mitochondrion	Mitochondrion
Q8BK67	Nucleus - Chromatin
Q8BK72	Mitochondrion
Q8BKF1	Mitochondrion	Mitochondrion
Q8BKG3	PM
Q8BKS9	Nucleus - Non-Chromatin
Q8BKZ9	Mitochondrion	Mitochondrion
Q8BLN5	ER
Q8BMF4	Mitochondrion
Q8BMS1	Mitochondrion
Q8BP40	Mitochondrion	Mitochondrion
Q8BP67	60S Ribosome	60S Ribosome
Q8BPG6	ER	ERGIC
Q8BSF4	Mitochondrion	Mitochondrion
Q8BSY0	ER
Q8BT60	Cytosol	Cytosol
Q8BU03	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8BU14	ER	ERGIC
Q8BU88	Mitochondrion	Mitochondrion
Q8BUY5	Mitochondrion	Mitochondrion
Q8BVF2	Cytosol	Cytosol
Q8BWB6	Endosome	Endosome
Q8BWF0	Mitochondrion	Mitochondrion
Q8BWT1	Mitochondrion	Mitochondrion
Q8BX22	Nucleus - Chromatin
Q8BXZ1	ER	ERGIC
Q8BY02	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8BYB9	ER	ERGIC
Q8BYL4	Mitochondrion	Mitochondrion
Q8C0I1	Peroxisome
Q8C2E4	Mitochondrion	Mitochondrion
Q8C2E7	Endosome
Q8C2Q3	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8C4J7	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8C5L7	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8C6I2	Mitochondrion	Mitochondrion
Q8C7V3	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8C7X2-2	ER
Q8CAQ8	Mitochondrion	Mitochondrion
Q8CAY6	Cytosol	Cytosol
Q8CCB4	Golgi
Q8CCG4	Nucleus - Chromatin	Nucleus - Chromatin
Q8CCJ3	ER
Q8CCK0	Nucleus - Chromatin	Nucleus - Chromatin
Q8CDN6	Proteasome	Proteasome
Q8CEE7	Mitochondrion	Mitochondrion
Q8CFA2	Mitochondrion	Mitochondrion
Q8CFX1	ER	ERGIC
Q8CGC6	Nucleus - Non-Chromatin
Q8CGK3	Mitochondrion
Q8CHT0	Mitochondrion	Mitochondrion
Q8CI11	Nucleus - Non-Chromatin
Q8CI78	Mitochondrion	Mitochondrion
Q8CIF6	Lysosome	Lysosome
Q8CJF7	Nucleus - Chromatin
Q8CJH3	PM	PM
Q8JZM0	Mitochondrion	Mitochondrion
Q8JZN5	Mitochondrion
Q8JZN7	Mitochondrion	Mitochondrion
Q8JZQ2	Mitochondrion
Q8JZS9	Mitochondrion	Mitochondrion
Q8JZY4	Mitochondrion	Mitochondrion
Q8K0C4	ER
Q8K0D5	Mitochondrion
Q8K0T0	ER	ERGIC
Q8K0Z7	Mitochondrion	Mitochondrion
Q8K1R3	Mitochondrion
Q8K1Z0	Mitochondrion	Mitochondrion
Q8K224	Nucleus - Non-Chromatin
Q8K297	ER	ERGIC
Q8K2B3	Mitochondrion
Q8K2C8	ER	ERGIC
Q8K2C9	ER	ERGIC
Q8K2I4	Lysosome	Lysosome
Q8K2M0	Mitochondrion	Mitochondrion
Q8K2Y7	Mitochondrion	Mitochondrion
Q8K301	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8K363	Nucleus - Non-Chromatin
Q8K3F7	Mitochondrion	Mitochondrion
Q8K3J1	Mitochondrion	Mitochondrion
Q8K411-2	Mitochondrion
Q8K4F5	Mitochondrion	Mitochondrion
Q8K4L0	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8QZS1	Mitochondrion	Mitochondrion
Q8QZT1	Mitochondrion	Mitochondrion
Q8R035	Mitochondrion	Mitochondrion
Q8R088	Golgi	ERGIC
Q8R0X7	ER	ERGIC
Q8R180	ER	ERGIC
Q8R1S9	PM	PM
Q8R242	Lysosome	Lysosome
Q8R2M2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8R2N2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8R2Q4-3	Mitochondrion	Mitochondrion
Q8R2S9	Nucleus - Chromatin	Nucleus - Chromatin
Q8R2Y2	PM
Q8R2Y8	Mitochondrion	Mitochondrion
Q8R326	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8R3F5	Mitochondrion	Mitochondrion
Q8R3J4	Mitochondrion	Mitochondrion
Q8R3K3	Mitochondrion	Mitochondrion
Q8R3N1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8R3Q6	Mitochondrion	Mitochondrion
Q8R404	Mitochondrion	Mitochondrion
Q8R4H9	Golgi	ERGIC
Q8R4N0	Mitochondrion	Mitochondrion
Q8R5K4	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8VCF0	Mitochondrion	Mitochondrion
Q8VCH8	ER	ERGIC
Q8VCM4	Mitochondrion	Mitochondrion
Q8VCM8	ER	ERGIC
Q8VCS3	Golgi	ERGIC
Q8VCW8	Mitochondrion	Mitochondrion
Q8VCY6	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q8VDC0	Mitochondrion	Mitochondrion
Q8VDF2	Nucleus - Chromatin
Q8VDM4	Proteasome
Q8VDN2	PM
Q8VDT9	Mitochondrion	Mitochondrion
Q8VE22	Mitochondrion	Mitochondrion
Q8VEB4	Lysosome	Lysosome
Q8VEH3	Endosome	Endosome
Q8VEH8	ER	ERGIC
Q8VEM8	Mitochondrion
Q8VHE0	ER
Q8VI84	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q91UZ5	Cytosol	Cytosol
Q91VD9	Mitochondrion
Q91VE0	ER	ERGIC
Q91VE6	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q91VI7	Cytosol	Cytosol
Q91VM9	Mitochondrion	Mitochondrion
Q91VN4	Mitochondrion	Mitochondrion
Q91VR2	Mitochondrion	Mitochondrion
Q91VW5	Golgi
Q91W43	Mitochondrion
Q91W53	Golgi
Q91W90	ER	ERGIC
Q91WD5	Mitochondrion	Mitochondrion
Q91WM2	Mitochondrion	Mitochondrion
Q91WM3	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q91X78	ER	ERGIC
Q91XA2	Golgi
Q91XC9	Peroxisome	Peroxisome
Q91YJ2	Endosome	Endosome
Q91YJ5	Mitochondrion	Mitochondrion
Q91YK2	Nucleus - Non-Chromatin
Q91YM4	Mitochondrion
Q91YP0	Mitochondrion	Mitochondrion
Q91YP2	Mitochondrion
Q91YQ5	ER
Q91YT0	Mitochondrion
Q91YU8	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q91ZA3	Mitochondrion	Mitochondrion
Q91ZW3	Nucleus - Chromatin
Q920A7	Mitochondrion	Mitochondrion
Q921E6-2	Nucleus - Chromatin
Q921G7	Mitochondrion	Mitochondrion
Q921L5	Golgi
Q921S7	Mitochondrion
Q921X9	ER	ERGIC
Q921Y2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q922E6	Mitochondrion	Mitochondrion
Q922H1-2	Cytosol	Cytosol
Q922H2	Mitochondrion	Mitochondrion
Q922J9	Peroxisome	Peroxisome
Q922K7	Nucleus - Non-Chromatin
Q922Q1	Mitochondrion	Mitochondrion
Q922R8	ER
Q922W5	Mitochondrion	Mitochondrion
Q923Z3	Mitochondrion	Mitochondrion
Q924S7	PM	PM
Q924T2	Mitochondrion	Mitochondrion
Q925I1	Mitochondrion
Q99J56	ER	ERGIC
Q99JB2	Mitochondrion
Q99JI4	Proteasome	Proteasome
Q99JR1	Mitochondrion	Mitochondrion
Q99JW5	PM	PM
Q99JY0	Mitochondrion	Mitochondrion
Q99KE1	Mitochondrion	Mitochondrion
Q99KI0	Mitochondrion
Q99KK7	Cytosol	Cytosol
Q99KK9	Mitochondrion	Mitochondrion
Q99KR7	Mitochondrion	Mitochondrion
Q99L13	Mitochondrion	Mitochondrion
Q99L47	Cytosol	Cytosol
Q99LC3	Mitochondrion	Mitochondrion
Q99LC5	Mitochondrion	Mitochondrion
Q99LH1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q99LI8	Endosome
Q99LJ8	ER	ERGIC
Q99LP6	Mitochondrion	Mitochondrion
Q99LV7	ER	ERGIC
Q99LY9	Mitochondrion	Mitochondrion
Q99M01	Mitochondrion	Mitochondrion
Q99M04	Mitochondrion	Mitochondrion
Q99M71	Lysosome	Lysosome
Q99M87	Mitochondrion	Mitochondrion
Q99ME9	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q99MJ9	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q99MN9	Mitochondrion	Mitochondrion
Q99MR8	Mitochondrion	Mitochondrion
Q99MZ7	Peroxisome	Peroxisome
Q99N84	Mitochondrion	Mitochondrion
Q99N85	Mitochondrion	Mitochondrion
Q99N87	Mitochondrion	Mitochondrion
Q99N89	Mitochondrion	Mitochondrion
Q99N92	Mitochondrion	Mitochondrion
Q99N93	Mitochondrion	Mitochondrion
Q99N94	Mitochondrion	Mitochondrion
Q99N95	Mitochondrion	Mitochondrion
Q99N96	Mitochondrion	Mitochondrion
Q99NB1	Mitochondrion	Mitochondrion
Q99PL5	ER
Q9CPQ1	Mitochondrion	Mitochondrion
Q9CPQ3	Mitochondrion	Mitochondrion
Q9CPQ8	Mitochondrion	Mitochondrion
Q9CPR4	60S Ribosome	60S Ribosome
Q9CPR5	Mitochondrion	Mitochondrion
Q9CPT5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CPW3	Mitochondrion	Mitochondrion
Q9CPX7	Mitochondrion	Mitochondrion
Q9CPY1	Mitochondrion	Mitochondrion
Q9CQ40	Mitochondrion	Mitochondrion
Q9CQ56		ERGIC
Q9CQ62	Mitochondrion	Mitochondrion
Q9CQ69	Mitochondrion	Mitochondrion
Q9CQ75	Mitochondrion	Mitochondrion
Q9CQA3	Mitochondrion	Mitochondrion
Q9CQC7	Mitochondrion	Mitochondrion
Q9CQE3	Mitochondrion	Mitochondrion
Q9CQE7		ERGIC
Q9CQF0	Mitochondrion	Mitochondrion
Q9CQF8	Mitochondrion	Mitochondrion
Q9CQH3	Mitochondrion	Mitochondrion
Q9CQL4	Mitochondrion	Mitochondrion
Q9CQL6	Mitochondrion	Mitochondrion
Q9CQN1	Mitochondrion
Q9CQN7	Mitochondrion	Mitochondrion
Q9CQP0	Mitochondrion	Mitochondrion
Q9CQQ7	Mitochondrion	Mitochondrion
Q9CQR6	Cytosol	Cytosol
