uniprot_id	lilley
AT1G01620	PM
AT1G01790	Envelope
AT1G02280	Envelope
AT1G03130	THY
AT1G03600	THY
AT1G03860	Mitochondrion
AT1G04630	Mitochondrion
AT1G06680	THY
AT1G06950	Plastid
AT1G07780	STR
AT1G07810	ER Membrane
AT1G08450	ER
AT1G08480	Mitochondrion
AT1G08660	Golgi
AT1G09210	ER Lumen
AT1G09330	TGN
AT1G09795	STR
AT1G11680	ER
AT1G11860	STR
AT1G12840	Vacuole
AT1G12900	STR
AT1G13900	TGN
AT1G14150	THY
AT1G14320	Ribosome
AT1G14810	STR
AT1G14830	PM
AT1G14870	PM
AT1G15500	Plastid
AT1G15690	Vacuole
AT1G15820	THY
AT1G16240	Vacuole
AT1G17745	STR
AT1G18500	STR
AT1G18640	STR
AT1G19710	Golgi
AT1G19800	Envelope
AT1G19910	Envelope
AT1G21480	Golgi
AT1G21750	ER Lumen
AT1G24180	Mitochondrion
AT1G27390	Mitochondrion
AT1G27950	PM
AT1G27980	ER Membrane
AT1G28340	TGN
AT1G29900	STR
AT1G29910	THY
AT1G29930	THY
AT1G30380	THY
AT1G30400	Vacuole
AT1G31130	TGN
AT1G31180	STR
AT1G31230	STR
AT1G31330	THY
AT1G31860	STR
AT1G32060	STR
AT1G32210	ER Membrane
AT1G34130	ER Membrane
AT1G42970	STR
AT1G44575	THY
AT1G47260	Mitochondrion
AT1G47420	Mitochondrion
AT1G49710	Golgi
AT1G51590	Golgi
AT1G51760	ER Lumen
AT1G51980	Mitochondrion
AT1G52230	THY
AT1G52780	TGN
AT1G53840	TGN
AT1G54990	ER Membrane
AT1G55670	THY
AT1G56190	STR
AT1G56340	ER Lumen
AT1G58080	STR
AT1G59610	PM
AT1G59870	PM
AT1G61520	THY
AT1G61790	ER Membrane
AT1G63010	Vacuole
AT1G63940	Mitochondrion
AT1G64190	Plastid
AT1G65410	Envelope
AT1G67090	STR
AT1G67280	STR
AT1G67490	ER Membrane
AT1G67730	ER Membrane
AT1G68010	STR
AT1G70570	STR
AT1G70610	Envelope
AT1G71920	STR
AT1G72150	Envelope
AT1G72370	Ribosome
AT1G72750	Mitochondrion
AT1G72810	STR
AT1G73110	STR
AT1G74380	Golgi
AT1G74790	PM
AT1G75330	STR
AT1G76030	Envelope
AT1G76090	ER
AT1G76180	PM
AT1G76400	ER Membrane
AT1G77090	THY
AT1G77590	Plastid
AT1G78180	Envelope
AT1G78560	Envelope
AT1G78620	Plastid
AT1G78900	Vacuole
AT1G78920	Golgi
AT1G79040	THY
AT1G79230	Mitochondrion
AT1G79560	Plastid
AT1G80230	Mitochondrion
AT1G80300	Plastid
AT1G80380	STR
AT1G80560	STR
AT1G80600	STR
AT2G01140	Plastid
AT2G01320	Envelope
AT2G01470	ER Membrane
AT2G01630	PM
AT2G01720	ER Membrane
AT2G01830	ER
AT2G02050	Mitochondrion
AT2G02590	Envelope
AT2G03120	ER Membrane
AT2G04030	Plastid
AT2G04400	STR
AT2G04780	PM
AT2G05070	THY
AT2G07698	Mitochondrion
AT2G09990	Ribosome
AT2G14720	TGN
AT2G14740	TGN
AT2G15290	Envelope
AT2G16460	Mitochondrion
AT2G16530	ER Membrane
AT2G16640	Plastid
AT2G17265	STR
AT2G17630	STR
AT2G18960	PM
AT2G19080	Mitochondrion
AT2G19940	STR
AT2G20260	THY
AT2G20360	Mitochondrion
AT2G20370	Golgi
AT2G20530	Mitochondrion
AT2G20800	Mitochondrion
AT2G20990	ER
AT2G21160	ER Membrane
AT2G21170	STR
AT2G21330	STR
AT2G21340	Envelope
AT2G21410	Vacuole
AT2G21600	ER
AT2G21870	Mitochondrion
AT2G22250	STR
AT2G22900	Golgi
AT2G26300	PM
AT2G26900	Envelope
AT2G27730	Mitochondrion
AT2G28900	Plastid
AT2G29080	Mitochondrion
AT2G29650	Envelope
AT2G29960	ER
AT2G29990	Mitochondrion
AT2G30490	ER
AT2G30790	THY
AT2G31190	Plastid
AT2G32440	ER Membrane
AT2G32920	ER Lumen
AT2G33040	Mitochondrion
AT2G33220	Mitochondrion
AT2G34300	TGN
AT2G34420	THY
AT2G34430	THY
AT2G34660	Vacuole
AT2G35500	STR
AT2G35800	Envelope
AT2G36160	Ribosome
AT2G36230	STR
AT2G36830	Envelope
AT2G36910	PM
AT2G37170	PM
AT2G37410	Mitochondrion
AT2G37500	STR
AT2G38270	Envelope
AT2G38540	PM
AT2G38650	Golgi
AT2G38960	ER Membrane
AT2G39470	THY
AT2G39730	STR
AT2G39960	ER Membrane
AT2G40100	THY
AT2G40890	ER
AT2G41560	Vacuole
AT2G42210	Mitochondrion
AT2G43240	Envelope
AT2G43750	STR
AT2G43950	Plastid
AT2G44040	STR
AT2G45140	ER Membrane
AT2G45290	Plastid
AT2G45440	STR
AT2G45470	PM
AT2G45960	PM
AT2G46170	ER Membrane
AT2G46820	THY
AT2G47470	ER Lumen
AT2G47510	Mitochondrion
AT2G47650	Golgi
AT2G47800	Vacuole
AT2G47840	Plastid
AT3G01280	Mitochondrion
AT3G01290	PM
AT3G01390	Envelope
AT3G01440	THY
AT3G02090	Mitochondrion
AT3G02350	Golgi
AT3G03050	Golgi
AT3G03100	Mitochondrion
AT3G04790	STR
AT3G04920	Ribosome
AT3G05230	ER Membrane
AT3G05710	TGN
AT3G06310	Mitochondrion
AT3G06350	STR
AT3G06510	Plastid
AT3G07110	Ribosome
AT3G07140	ER Membrane
AT3G07160	PM
AT3G07180	ER Membrane
AT3G07330	Golgi
AT3G07390	PM
AT3G07480	Mitochondrion
AT3G08580	Mitochondrion
AT3G08640	Plastid
AT3G08940	THY
AT3G08950	Mitochondrion
AT3G09260	ER
AT3G09740	PM
AT3G10730	ER
AT3G11820	PM
AT3G12260	Mitochondrion
AT3G12780	STR
AT3G13560	PM
AT3G14390	STR
AT3G15000	Mitochondrion
AT3G15640	Mitochondrion
AT3G15660	Mitochondrion
AT3G16140	THY
AT3G16240	Envelope
AT3G16480	Mitochondrion
AT3G16620	Plastid
AT3G17440	PM
AT3G17840	PM
AT3G17970	Plastid
AT3G19480	STR
AT3G20000	Mitochondrion
AT3G20320	Plastid
AT3G20410	PM
AT3G21160	Golgi
AT3G23710	Plastid
AT3G23990	Mitochondrion
AT3G25140	Golgi
AT3G25540	ER
AT3G26520	Vacuole
AT3G26570	Envelope
AT3G26650	STR
AT3G26900	STR
AT3G27080	Mitochondrion
AT3G27240	Mitochondrion
AT3G27280	Mitochondrion
AT3G27380	Mitochondrion
AT3G28710	Vacuole
AT3G28860	PM
AT3G42050	Vacuole
AT3G44330	ER
AT3G46740	Plastid
AT3G46980	Envelope
AT3G47200	PM
AT3G47470	THY
AT3G47520	Plastid
AT3G47833	Mitochondrion
AT3G47930	Mitochondrion
AT3G47950	PM
AT3G48680	Mitochondrion
AT3G48820	Golgi
AT3G49560	Plastid
AT3G49680	STR
AT3G50820	THY
AT3G50930	Mitochondrion
AT3G51460	ER
AT3G51550	PM
AT3G51870	Envelope
AT3G52190	ER Membrane
AT3G52300	Mitochondrion
AT3G52400	PM
AT3G52730	Mitochondrion
AT3G53420	PM
AT3G53520	Golgi
AT3G53580	STR
AT3G54050	STR
AT3G54110	Mitochondrion
AT3G54890	THY
AT3G54960	ER Lumen
AT3G55330	THY
AT3G55360	ER Membrane
AT3G55610	STR
AT3G55800	STR
AT3G55830	Golgi
AT3G56650	THY
AT3G57220	ER Membrane
AT3G57560	STR
AT3G57610	Plastid
AT3G57650	ER Membrane
AT3G58610	STR
AT3G58730	Vacuole
AT3G59760	STR
AT3G59820	Mitochondrion
AT3G60750	Plastid
AT3G60900	PM
AT3G61130	Golgi
AT3G61470	THY
AT3G62410	STR
AT3G63410	Plastid
AT3G63420	PM
AT4G00370	Envelope
AT4G00630	Envelope
AT4G00860	Mitochondrion
AT4G01100	Mitochondrion
AT4G01320	ER Membrane
AT4G02510	Plastid
AT4G02580	Mitochondrion
AT4G02620	Envelope
AT4G02770	THY
AT4G03550	PM
AT4G04720	PM
AT4G05020	Mitochondrion
AT4G05180	THY
AT4G08390	Mitochondrion
AT4G09580	ER Membrane
AT4G10340	THY
AT4G11010	Plastid
AT4G11150	Vacuole
AT4G12420	PM
AT4G12650	TGN
AT4G12730	PM
AT4G12800	THY
AT4G13430	Plastid
AT4G13510	PM
AT4G14950	ER
AT4G15240	Golgi
AT4G15510	THY
AT4G16450	Mitochondrion
AT4G19640	ER
AT4G19710	STR
AT4G20260	PM
AT4G21150	ER Membrane
AT4G21280	THY
AT4G21680	PM
AT4G24190	ER Lumen
AT4G24830	STR
AT4G25240	PM
AT4G25450	Envelope
AT4G26690	PM
AT4G27070	STR
AT4G27520	PM
AT4G28220	Mitochondrion
AT4G28510	Mitochondrion
AT4G28660	THY
AT4G28750	THY
AT4G29130	Mitochondrion
AT4G29480	Mitochondrion
AT4G29840	STR
AT4G29900	PM
AT4G30010	Mitochondrion
AT4G30190	PM
AT4G30260	TGN
AT4G30580	Plastid
AT4G31140	PM
AT4G31500	ER
AT4G31700	Ribosome
AT4G31780	Plastid
AT4G31990	STR
AT4G32130	ER Membrane
AT4G32400	Plastid
AT4G32470	Mitochondrion
AT4G33010	STR
AT4G33350	Plastid
AT4G33460	Envelope
AT4G33510	STR
AT4G33520	Plastid
AT4G33680	STR
AT4G34200	STR
AT4G34460	PM
AT4G34640	ER Membrane
AT4G35100	PM
AT4G35630	Plastid
AT4G36220	ER
AT4G36480	ER Membrane
AT4G37270	Envelope
AT4G37410	ER
AT4G37640	ER Membrane
AT4G37690	Golgi
AT4G37930	STR
AT4G38240	Golgi
AT4G38270	Golgi
AT4G38510	Envelope
AT4G38970	STR
AT4G39080	Vacuole
AT4G39400	PM
AT4G39460	Plastid
AT5G01500	Plastid
AT5G01530	THY
AT5G03290	Mitochondrion
AT5G03520	PM
AT5G03910	Envelope
AT5G04740	STR
AT5G04990	ER
AT5G05000	Plastid
AT5G07340	ER Membrane
AT5G08040	Mitochondrion
AT5G08080	PM
AT5G08530	Mitochondrion
AT5G09420	Mitochondrion
AT5G09590	Mitochondrion
AT5G10360	Ribosome
AT5G11520	STR
AT5G11770	Mitochondrion
AT5G11880	STR
AT5G12200	ER
AT5G12860	Envelope
AT5G13420	Plastid
AT5G13450	Mitochondrion
AT5G13490	Envelope
AT5G14040	Mitochondrion
AT5G14100	Envelope
AT5G14200	STR
AT5G15090	Mitochondrion
AT5G16150	Envelope
AT5G16910	Golgi
AT5G17520	Envelope
AT5G17630	Envelope
AT5G17770	ER
AT5G17920	STR
AT5G17990	STR
AT5G18485	Golgi
AT5G18800	Mitochondrion
AT5G19690	ER Membrane
AT5G19760	Mitochondrion
AT5G20230	PM
AT5G22830	Envelope
AT5G23040	Plastid
AT5G23630	ER
AT5G26860	Mitochondrion
AT5G28540	ER
AT5G33320	Envelope
AT5G37510	Mitochondrion
AT5G38410	STR
AT5G38430	STR
AT5G39040	Vacuole
AT5G39510	Vacuole
AT5G40770	Mitochondrion
AT5G40810	Mitochondrion
AT5G42020	ER
AT5G42080	PM
AT5G42130	Envelope
AT5G42480	Plastid
AT5G42590	ER
AT5G43970	Mitochondrion
AT5G44140	Mitochondrion
AT5G44520	STR
AT5G45130	ER
AT5G45160	ER Membrane
AT5G46110	Envelope
AT5G46290	Plastid
AT5G46800	Mitochondrion
AT5G47030	Mitochondrion
AT5G47120	ER
AT5G47890	Mitochondrion
AT5G47990	ER
AT5G48220	STR
AT5G48810	ER Membrane
AT5G49945	ER
AT5G50920	Plastid
AT5G52840	Mitochondrion
AT5G53560	ER Membrane
AT5G54270	THY
AT5G54810	STR
AT5G55480	PM
AT5G55730	PM
AT5G55940	ER Membrane
AT5G57110	PM
AT5G57490	Mitochondrion
AT5G58090	PM
AT5G58270	Mitochondrion
AT5G59250	Envelope
AT5G60640	ER Lumen
AT5G60660	Envelope
AT5G61410	STR
AT5G61790	ER Membrane
AT5G61840	Golgi
AT5G61900	PM
AT5G62390	ER Membrane
AT5G62575	Mitochondrion
AT5G62670	PM
AT5G63510	Mitochondrion
AT5G64030	TGN
AT5G64040	THY
AT5G64280	Envelope
AT5G64290	Plastid
AT5G64380	STR
AT5G65720	Mitochondrion
AT5G66120	STR
AT5G66510	Mitochondrion
AT5G66570	THY
AT5G66680	ER Membrane
AT5G66760	Mitochondrion
AT5G67500	Mitochondrion
AT5G67590	Mitochondrion
ATCG00020	THY
ATCG00270	THY
ATCG00280	THY
ATCG00340	THY
ATCG00350	THY
ATCG00490	STR
ATCG00500	Plastid
ATCG00560	THY
ATCG00570	THY
ATCG00580	THY
ATCG00630	THY
ATCG00680	THY
ATCG00710	THY
ATCG01060	THY
ATCG01130	Plastid
ATMG00070	Mitochondrion
ATMG00160	Mitochondrion
ATMG00270	Mitochondrion
ATMG00510	Mitochondrion
ATMG00640	Mitochondrion
NAD5	Mitochondrion
ORFB	Mitochondrion
RPS7-01	Plastid
